Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Area Foundations of Law,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Area Comparative Law,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Area Other Areas of Law,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Area Written Papers,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Area International Law,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Single Major 90 International and Comparative Law,English,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Master of Law UZH (RVO21)
Area Procedural Law UZH,,,Faculty of Law,,,Law
Single Major 90 Law,"German, French, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Andreas Heinemann,,"MLaw UZH UNIL (Joint Degree Program, RVO21)"
Single Major 90 Notariatsstudienprogramm,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Ruth Arnet,,Besonderer Studiengang zur Vorbereitung auf die Notariatsprüfung des Kantons Zürich
Teaching Subject 2 Additional Qualification in Vocational Education and Training,,,Institute of Education,,,Additional Qualification in Vocational Education and Training (BPZQ)
Area Further Courses UZH,,,Faculty of Law,,,Law
Area Abschluss,,,Faculty of Arts and Social Sciences,,,English (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,German (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,French (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,History (2nd Teaching Subject)
Area Fachdidaktik 2. UF,,,Faculty of Arts and Social Sciences,,,Greek (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Italian (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Latin (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Pedagogy/Psychology (2nd Teaching Subject)
Partial Subject Fachwissenschaftliche Voraussetzungen Recht,,,Institute of Education,,,Economics and Law (Teaching Subject);Economics and Law
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Philosophy (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Rhaeto-Romanic (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Russian (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Spanish (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Religion (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Biology (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Chemistry (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Geography (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Mathematics (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Physics (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Computer Science (2nd Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Biology (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Chemistry (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,German (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,English
Area Abschluss,,,Faculty of Arts and Social Sciences,,,French (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Geography (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,History (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Greek (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Computer Science (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Italian (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Latin
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Mathematics (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Pedagogy/Psychology (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Philosophy (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Physics (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Religion (ein Unter richtsfach)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Russian (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Spanish (Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Biology (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Chemistry (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Religion (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Computer Science (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Philosophy (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Pedagogy/Psychology (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Greek (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Latin (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,German (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,French (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Italian (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Spanish (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,English (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Russian (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,History (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Mathematics (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Physics (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Geography (1st Teaching Subject)
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Economics and Law
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Biology
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Chemistry
Area Abschluss,,,Faculty of Arts and Social Sciences,,,German
Area Abschluss,,,Faculty of Arts and Social Sciences,,,English
Area Abschluss,,,Faculty of Arts and Social Sciences,,,French
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Geography
Area Abschluss,,,Faculty of Arts and Social Sciences,,,History
Area Fachdidaktik 2. UF,,,Faculty of Arts and Social Sciences,,,Greek
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Computer Science
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Italian
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Latin
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Mathematics
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Pedagogy/Psychology
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Philosophy
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Physics
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Rhaeto-Romanic
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Religion
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Russian
Area Abschluss,,,Faculty of Arts and Social Sciences,,,Spanish
Area Modules without Exam Registration,,,Faculty of Law,,,Assessment Level;Law
Area Modules without Exam Registration,,,Faculty of Law,,,Law;Law;Law;Law
Area Private Law,,,Faculty of Law,,,Notariatsstudienprogramm
Area Civil Law and Civil Procedure Law,,,Faculty of Law,,,Notariatsstudienprogramm
Area Trade and Business Law,,,Faculty of Law,,,Notariatsstudienprogramm
Area Case Studies Private Law,,,Faculty of Law,,,Notariatsstudienprogramm
Area Written Papers,,,Faculty of Law,,,Notariatsstudienprogramm
Area Modules without Exam Registration,,,Faculty of Law,,,Notariatsstudienprogramm
Area 2nd year of studies: Physics (Compulsory modules),,,Faculty of Science,,,Physics
Area Interdisciplinary Modules/Practice Modules,,,Faculty of Law,,,International and Comparative Law;International and Comparative Law;International and Comparative Law
Area Fakultative Leistungen (Wahlpflichtbereich Erziehungswissenschaft und Fachdidaktik),,,Faculty of Arts and Social Sciences,,,Religion;Economics and Law;Computer Science;Philosophy;Pedagogy/Psychology;Greek;Latin;German;French;Italian;Spanish;Rhaeto-Romanic;English;Russian;History;Mathematics;Physics;Chemistry;Geography;Biology
Area Alte Sprachen,,,Faculty of Theology and the Study of Religion,,,Theology;History of Christianity;Religions in the Ancient World
Area Modules without Exam Registration,,,Faculty of Law,,,Advanced Level
Area Modules without Exam Registration,,,Faculty of Law,,,Law
Area Interdisciplinary Modules/Practice Modules,,,Faculty of Law,,,Law
Single Major 90 Computational Science (specialized Master),English,,Faculty of Science,Joachim Gerhard Stadel,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (90) (2021)
Major 90 Computational Science (specialized Master),English,,Faculty of Science,Joachim Gerhard Stadel,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (120) (2021)
Area Pflichtmodule Computational Science,,,Faculty of Science,,,Computational Science (specialized Master);Computational Science (specialized Master)
Area Wahlpflichtmodule Computational Science,,,Faculty of Science,,,Computational Science (specialized Master);Computational Science (specialized Master)
Area Wahlmodule Computational Science,,,Faculty of Science,,,Computational Science (specialized Master);Computational Science (specialized Master)
Area Fokuswoche,,,Faculty of Medicine,,,3. Studienjahr Humanmedizin;3. Studienjahr;3. Studienjahr LU;3. Studienjahr SG
Area Fokuswoche,,,Faculty of Medicine,,,1st year of studies Medicine;M Chiro Med 1. SJ;1. Studienjahr Joint Master HSG;1. Studienjahr Joint Master LU
Teaching Subject Inter-/Transdisciplinary Courses,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Teaching Subject Future Skills,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Major 150 Information Systems,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Major 150 Software Systems,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Major 120 Informatics and Sciences,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Information Systems,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Teaching Subject Digital Humanities,,,School for Transdisciplinary Studies,,,Future Skills
Teaching Subject Working with Data,,,School for Transdisciplinary Studies,,,Future Skills
Minor 30 Software Systems,"German, English",,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Minor 30 People-Oriented Computing,German,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Major 150 Economics,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 150 Business Administration,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 150 Banking and Finance,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michel Habib,Benjamin Wilding,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Economics,German,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Business Administration,German,,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Banking and Finance,German,,"Faculty of Business, Economics and Informatics",Michel Habib,Benjamin Wilding,Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science UZH in Informatics (RVO22)
Minor 30 General Business and Economics,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",,,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Information Systems for OEC,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 People-Oriented Computing for OEC,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Informatics,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 90 Information Systems,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Software Systems,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 People-Oriented Computing,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Artificial Intelligence,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Major 90 Data Science,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO22)
Minor 30 Informatics,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (PVO08);Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Data Science,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (PVO08);Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Information Systems,English,,"Faculty of Business, Economics and Informatics",Gerhard Schwabe,Daniela Bärtschi,Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (PVO08);Master of Arts UZH in Business and Economics (RVO22)
Major 90 Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Business Administration,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Banking and Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Major 90 Management and Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ursula Backes-Gellner,Sara Brunner,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (PVO08)
Minor 30 Behavioral Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michel Maréchal,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Development and Economic Policy,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Accounting and Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Dieter Pfaff,Dieter Pfaff,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Managing Education,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Ursula Backes-Gellner,Sara Brunner,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Sports Management,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Helmut Max Dietl,Anil Özdemir,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Marketing,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",René Algesheimer,Katherine Tiffany Keely Rother,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Arts UZH in Business and Economics (RVO22);Master of Science UZH in Informatics (PVO08)
Minor 30 Banking,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Corporate Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Financial Economics,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Quantitative Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Sustainable Finance,English,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Arts UZH in Business and Economics (RVO22)
Minor 30 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Oliver Merz,Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (PVO08)
Assessment Level Assessment level: Bachelor INF,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Software Systems;Informatics and Sciences
Area Advanced level: Bachelor Information Systems,,,"Faculty of Business, Economics and Informatics",,,Information Systems
Area B: Common compulsory program at advanced level: Bachelor INF,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Information Systems;Advanced level: Bachelor Software Systems;Advanced level: Bachelor Informatics with Natural Sciences
Area Advanced level: Bachelor Software Systems,,,"Faculty of Business, Economics and Informatics",,,Software Systems
Area B: Compulsory area: Software Systems,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Software Systems
Area Advanced level: Bachelor Informatics with Natural Sciences,,,"Faculty of Business, Economics and Informatics",,,Informatics and Sciences
Area B: Compulsory area: Information Systems 30,,,"Faculty of Business, Economics and Informatics",,,Information Systems
Area B: Core elective area: Information Systems,,,"Faculty of Business, Economics and Informatics",,,Information Systems
Area B: Core elective area: Software Systems,,,"Faculty of Business, Economics and Informatics",,,Software Systems
Area B: Compulsory area: People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing
Area B: Core elective area: People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing
Area B: Compulsory area: Information Systems,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Information Systems
Area M: Compulsory area: Information Systems,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Information Systems;Information Systems (Fast Track)
Area M: Core elective area: Information Systems,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Information Systems;Information Systems (Fast Track)
Area M: Elective area INF,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Software Systems;People-Oriented Computing;Artificial Intelligence;Data Science;Informatics;Data Science;Information Systems;Informatics;Data Science;Information Systems (Fast Track);Software Systems (Fast Track);People-Oriented Computing (Fast Track);Data Science (Fast Track);Artificial Intelligence (Fast Track)
Area M: Elective area WWF,,,"Faculty of Business, Economics and Informatics",,,Information Systems;Software Systems;People-Oriented Computing;Artificial Intelligence;Data Science;Information Systems (Fast Track);Software Systems (Fast Track);People-Oriented Computing (Fast Track);Data Science (Fast Track);Artificial Intelligence (Fast Track)
Area M: Compulsory area: Software Systems,,,"Faculty of Business, Economics and Informatics",,,Software Systems;Software Systems (Fast Track)
Area M: Core elective area: Software Systems,,,"Faculty of Business, Economics and Informatics",,,Software Systems;Software Systems (Fast Track)
Area M: Compulsory area: People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing;People-Oriented Computing (Fast Track)
Area M: Core elective area: People-Oriented Computing,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing;People-Oriented Computing (Fast Track)
Area M: Compulsory area: Artificial Intelligence,,,"Faculty of Business, Economics and Informatics",,,Artificial Intelligence;Artificial Intelligence (Fast Track)
Area M: Core elective area: Artificial Intelligence,,,"Faculty of Business, Economics and Informatics",,,Artificial Intelligence;Artificial Intelligence (Fast Track)
Area M: Compulsory area: Data Science,,,"Faculty of Business, Economics and Informatics",,,Data Science;Data Science;Data Science;Data Science (Fast Track)
Assessment Level Assessment level: Bachelor OEC,,,"Faculty of Business, Economics and Informatics",,,Economics;Business Administration;Banking and Finance
Area Advanced level: Bachelor Economics,,,"Faculty of Business, Economics and Informatics",,,Economics
Area B: Common compulsory program at advanced level: Bachelor OEC,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Economics;Advanced level: Business Administration;Advanced level: Bachelor Banking and Finance
Area B: Core elective area: Macroeconomics (ECON1/VWL1),,,"Faculty of Business, Economics and Informatics",,,Economics;Advanced level: Bachelor Economics;Economics;Economics
Area B: Core elective area: Microeconomics (ECON2/VWL2),,,"Faculty of Business, Economics and Informatics",,,Economics;Advanced level: Bachelor Economics;Economics;Economics
"Area B: Core elective area: Accounting, Auditing and Governance (BWL1)",,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Core elective area: Corporate Finance and Banking (BWL2),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Core elective area: Organization and Human Resources (BWL3),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Core elective area: Marketing (BWL4),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Core elective area: Business Policy and Governance (BWL5),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Core elective area: Management Science (BWL6),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Advanced level: Business Administration;Business Administration;Business Administration
Area B: Compulsory area: Banking and Finance,,,"Faculty of Business, Economics and Informatics",,,Advanced level: Bachelor Banking and Finance
Area B: Core elective area: Banking and Finance (BF1),,,"Faculty of Business, Economics and Informatics",,,Banking and Finance;Advanced level: Bachelor Banking and Finance;Banking and Finance;Banking and Finance
Area B: Elective area OEC,,,"Faculty of Business, Economics and Informatics",,,General Business and Economics
Area B: Compulsory area: Information Systems for OEC,,,"Faculty of Business, Economics and Informatics",,,Information Systems for OEC
Area B: Elective area INF,,,"Faculty of Business, Economics and Informatics",,,Information Systems for OEC;People-Oriented Computing for OEC;Informatics;Informatics;People-Oriented Computing;Informatics;Mensch und Computer
Area B: Compulsory area: People-Oriented Computing for OEC,,,"Faculty of Business, Economics and Informatics",,,People-Oriented Computing for OEC
Area B: Compulsory area: Informatics 30,,,"Faculty of Business, Economics and Informatics",,,Informatics
Area Advanced level: Business Administration,,,"Faculty of Business, Economics and Informatics",,,Business Administration
Area Advanced level: Bachelor Banking and Finance,,,"Faculty of Business, Economics and Informatics",,,Banking and Finance
Area M: Core elective area: Data Science,,,"Faculty of Business, Economics and Informatics",,,Data Science;Data Science;Data Science;Data Science (Fast Track)
Area M: Minor area: Informatics,,,"Faculty of Business, Economics and Informatics",,,Informatics;Informatics
Area M: Compulsory area: Economics,,,"Faculty of Business, Economics and Informatics",,,Economics;Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Macroeconomics (ECON1/VWL1),,,"Faculty of Business, Economics and Informatics",,,Economics;Management and Economics;Economics;Behavioral Economics;Development and Economic Policy;Sports Management;Economics;Banking and Finance (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Microeconomics (ECON2/VWL2),,,"Faculty of Business, Economics and Informatics",,,Economics;Management and Economics;Economics;Behavioral Economics;Development and Economic Policy;Sports Management;Economics;Banking and Finance (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Empirical Economic Research and Econometrics (ECON3/VWL3),,,"Faculty of Business, Economics and Informatics",,,Economics;Management and Economics;Economics;Behavioral Economics;Development and Economic Policy;Sports Management;Economics;Banking and Finance (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Compulsory area: Business Administration,,,"Faculty of Business, Economics and Informatics",,,Business Administration;Betriebswirtschaftslehre (Fast Track)
"Area M: Core elective area: Accounting, Auditing and Governance (BWL1)",,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Accounting and Finance;Sports Management;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Corporate Finance and Banking (BWL2),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Accounting and Finance;Sports Management;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Organization and Human Resources (BWL3),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Sports Management;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
Area M: Core elective area: Marketing (BWL4),,,"Faculty of Business, Economics and Informatics",,,Business Administration;Management and Economics;Business Administration;Managing Education;Sports Management;Marketing;Business Administration;Business Administration;Betriebswirtschaftslehre (Fast Track);Management and Economics (Fast Track);Volkswirtschaftslehre (Fast Track)
